"",PC1,PC2,INTGRP,COLNAMES,id,trt
Sample1,7.01903075671131,-25.4499084755609,sample,Sample1,Sample1,sample
Sample2,-9.42891692926269,19.7899268169216,sample,Sample2,Sample2,sample
Sample3,13.7141621237546,8.82165203510534,sample,Sample3,Sample3,sample
Sample4,-29.0657560191701,-7.1049567215959,sample,Sample4,Sample4,sample
Sample5,-22.6061642535552,5.92941854889552,sample,Sample5,Sample5,sample
Sample6,-11.9940981176228,-12.1641519795162,sample,Sample6,Sample6,sample
Sample7,-25.3208143761528,0.24221679870236,sample,Sample7,Sample7,sample
Sample8,-2.69653537483514,-0.598933033716361,sample,Sample8,Sample8,sample
Sample9,-4.04793449905041,-10.0604008026908,sample,Sample9,Sample9,sample
Sample10,12.9410771803718,8.9976223135639,sample,Sample10,Sample10,sample
Sample11,25.5431621067629,1.72615272877016,sample,Sample11,Sample11,sample
Sample12,6.31321230128007,13.757246327571,sample,Sample12,Sample12,sample
Sample13,30.5121208098663,4.46463371729807,sample,Sample13,Sample13,sample
Sample14,1.95118109601906,-7.90847754134253,sample,Sample14,Sample14,sample
Sample15,-3.23423360741858,5.08281994851477,sample,Sample15,Sample15,sample
Sample16,0.802882577773767,-16.741294942917,sample,Sample16,Sample16,sample
Sample17,-16.4360039445618,7.38305508308676,sample,Sample17,Sample17,sample
Sample18,33.2193993480676,8.41226415197759,sample,Sample18,Sample18,sample
Sample19,42.9164528362453,-13.6122959099414,sample,Sample19,Sample19,sample
Sample20,-20.3358914187872,-3.26828062682436,sample,Sample20,Sample20,sample
Sample21,-0.822207012455905,6.92485476237431,sample,Sample21,Sample21,sample
Sample22,8.99559532873686,17.9827740901002,sample,Sample22,Sample22,sample
Sample23,10.5168133428545,-12.6802945256315,sample,Sample23,Sample23,sample
Sample24,-27.6898328729012,-6.40036816773194,sample,Sample24,Sample24,sample
Sample25,-19.1484429554554,14.9069959599018,sample,Sample25,Sample25,sample
Sample26,6.47611537962803,15.4794865481859,sample,Sample26,Sample26,sample
Sample27,17.3374552422187,18.5786030941071,sample,Sample27,Sample27,sample
Sample28,10.0103390191066,-7.323138326131,sample,Sample28,Sample28,sample
Sample29,31.6713267624576,7.29564906670806,sample,Sample29,Sample29,sample
Sample30,21.2749488631371,-3.08659675202697,sample,Sample30,Sample30,sample
Sample31,-31.811436209457,5.71899254324274,sample,Sample31,Sample31,sample
Sample32,-22.9758325407654,-3.31116584596511,sample,Sample32,Sample32,sample
Sample33,-18.9331546046292,-3.89993655294833,sample,Sample33,Sample33,sample
Sample34,12.6874275075029,-5.57572156452374,sample,Sample34,Sample34,sample
Sample35,-17.699367910528,2.59795262363365,sample,Sample35,Sample35,sample
Sample36,15.220663603747,21.8215561071799,sample,Sample36,Sample36,sample
Sample37,1.62519151203224,22.4891756087006,sample,Sample37,Sample37,sample
Sample38,16.590913786307,-24.9589761272404,sample,Sample38,Sample38,sample
Sample39,15.5960886912476,4.75427031757476,sample,Sample39,Sample39,sample
Sample40,-16.0994372193236,-13.5392339498547,sample,Sample40,Sample40,sample
Sample41,-37.7628035547222,-3.10300900318847,sample,Sample41,Sample41,sample
Sample42,4.86662878153905,24.8341480103149,sample,Sample42,Sample42,sample
Sample43,2.46350428421833,28.9972239983897,sample,Sample43,Sample43,sample
Sample44,17.4167110163722,-27.6275599978838,sample,Sample44,Sample44,sample
Sample45,-27.9362367743121,6.75697227888509,sample,Sample45,Sample45,sample
Sample46,-29.3329277929773,3.23286957630604,sample,Sample46,Sample46,sample
Sample47,14.5276743339255,-19.5349176298314,sample,Sample47,Sample47,sample
Sample48,-11.0174818146696,-21.1208948200523,sample,Sample48,Sample48,sample
Sample49,-7.61573815026737,10.67482157839,sample,Sample49,Sample49,sample
Sample50,6.89000853693678,8.85825867418976,sample,Sample50,Sample50,sample
Sample51,-9.30418706206937,-15.7287929508886,sample,Sample51,Sample51,sample
Sample52,-13.1383454548074,-5.94641685264519,sample,Sample52,Sample52,sample
Sample53,21.2197438742267,-27.797060073721,sample,Sample53,Sample53,sample
Sample54,-2.31394869283804,-19.5965750246121,sample,Sample54,Sample54,sample
Sample55,28.4478981595483,11.6277448903903,sample,Sample55,Sample55,sample
